beer_ABV,beer_beerId,beer_brewerId,beer_name,beer_style,review_appearance,review_palette,review_overall,review_taste,review_profileName,review_aroma,review_text,review_time,sentiment_score
11.5,35754,68,Double Dog Double Pale Ale,American Double / Imperial IPA,4.0,4.0,4.0,3.5,whatthehull,4.5,"Poured into a New Belgium snifter A - Beautiful deep amber, with a 3 finger off white head and some nice lacing S - Soap, flowers, a tropical fruit basket and a huge molasses, sugar syrup linger T - Nicely balanced. The hops, malt, grain and sugar all meet for an awesome taste orgy. The soap flavor is through and the and the hop bitterness is awesome and stays from start to finish and if I am not mistaken, maybe a bit of ripe banana M - A little big. Carbonation, meets lots of bitterness and has a kid named sticky. It's nice but at times can be a bit much D - This is not your every day beer, your every week beer or even your every month beer. This is a beer that when you have it on tap and want the crazy smell, taste and mouth feel Final thought - I love this beer and also hate how jacked up I get off of 2, but, it is only $7.99 a 4 pack, beat that? I think not. The flying dog is a great brew",1297408102,0.30000001192092896
4.9,21300,35,Samuel Adams Black Lager,Schwarzbier,4.0,2.5,3.0,3.5,Tawnos,4.0,"Pours a reddish brown, light lacing but not a lot of head. Smells sweet, somewhat smokey. Like roasted barbeque meat, somewhat similar to the celebrator doppelbock, though with less molasses. A bit overly sweet smelling. Tastes somewhat woody, good earthy taste with a roasted nut palette. Less sweet than the smell would tell you, which is good, as it ends up more balanced than the smell would indicate. Not much hop presence, this feels like a lager. Somewhat tingly mouthfeel, not a huge amount of carbonation, but not creamy like a nitrogen beer. Somewhat thick for the lightness, not syrupy, but smooth. It's drinkable, but not out of this world.",1167799512,0.0
4.5,60776,6577,Titanic Chocolate & Vanilla Stout,English Stout,4.0,3.5,4.0,4.0,StJamesGate,4.5,"On cask at the GBBF. Pours solid black with a touch of ruby and a tan film that trails. Fresh fudge nose. Burned roast malts with coffee cherry, some cocoa powder and a touch of red currant. Vanilla been middle and branchy hops ending. Roasty dry finish, medium, with some chew. Closer to a dry Irish in body and roast character. Not too sweet, restrained and balanced. Nice to see the additions as actual flavors and not gimmicks. ""A sweeter alternative to Titanic's award-winning Stout. The beer has a rich body from the roast barley and Maris Otter Pale Malt and English Northdown hops to create a bitter edge, the sweetness comes from the addition of Chocolate and Madagascan Vanilla.""",1281026428,0.4000000059604645
5.6,276,140,Sierra Nevada Pale Ale,American Pale Ale (APA),4.0,3.5,4.5,3.5,Atch,4.0,"Poured into a pint glass Appearance: Nice golden orange color, medium carbonation, 1 finger head that leaves quick and some descent lacing. Smell: I get citrus and (coconut)? Taste: A good balanced beer that definitely fits the APA style. Mouthfeel: Very smooth texture, holds the carbonation. Drinkability: I would absolutely have another. I remember years back when I first tried SNPA, thinking how great it was and it would make me pucker. Then; being introduced to IPA's and doubles, I kind of forgot about Sierra. Probally the beer responsible for my never-ending hop quest. Sierra Nevada Pale Ale= Old Faithful.",1172622812,0.4000000059604645
5.5,25468,568,Palone,Euro Dark Lager,4.0,3.5,4.5,4.5,Higravity,4.0,The mouthfeel stays with this for ever. Silk crushed velet between your toes good. The brown tilted amber has a nice head that wish would have stayed around longer. It smells of a sweet malta type drink with a bock swager good but different. Taste of a sweet dark larger with a good bit of rounding out of flavors I have come to know as a baltic dark lager with a kiss of smokiness. This is a damn good beer and an all day drinker for sure.,1186505855,0.4000000059604645
7.8,1054,192,Trippel Belgian Style Ale,Tripel,4.0,4.5,4.0,4.0,Peleador77,4.5,"Beer was very creamy to the taste, although could not nail down any distinct tones. Also could detect its creamyness in its smell, but again did not nail down any distinct scents or tones. Not much of a head. Beer was thick and there was some sediment left at the end. Reminded me of Chimay in many regards. Golden color, translucent. Best part, to a college kid like me, is that I could actually afford to buy something this good.",1066767242,0.10000000149011612
9.4,34085,2743,Green Flash Imperial India Pale Ale,American Double / Imperial IPA,4.5,4.0,4.5,4.5,russpowell,4.0,"Pours golden/bronze with 3+ fingers of rocky eggshell colored head. Insane lacing & good head retention S: Breadyness & piney hops, with a hint of lemon & booze T: Piney & citrus hops with some breadyness up front. Herbal/earhy hops & brown sugar follow as this warms. Finishes with leafy hops, grapefruit juice & warming booze/malt & more grapefruit hops MF: Chewy with low carbonation, but very juicy for the abv Drinks very good for the abv, just a little to heavy handed on the grapefruitty hops for me",1183430441,0.4000000059604645
9.0,34,22,La Fin Du Monde,Tripel,4.0,4.0,4.0,4.0,animal69,4.0,"I can't believe i never reviewed one of these yet, BBD 10-10-10, pours a cloudy yellow-gold w/ a white head that sticks around for a little while before coating my snifter with broken lacing ; a bready malt and cracker-like aroma laden w/ hot spice, some fruity esters, floral hops and alcohol present as well ; spicy, tart and bready taste up front, well balanced w/ hops, a bit metallic w/ a semi-dry, peppery and alcoholic finish ; a rich, creamy med.-full body, abundence of co2 ; a great beer, drinkable as hell for a 9% ABV tripel, tho the ""Unibroue spice"" gets to be a bit much in this one after a while compared to their other brews, i still love it...",1214083139,0.4000000059604645
4.2,7,3,Purple Haze,Fruit / Vegetable Beer,3.5,4.0,3.5,3.0,olimpia84,3.5,"Had this on tap. This beer as a dark and cloudy orangish-amber color, very small head. As with most fruit/vegetable beers the smell is one of the attracting points and this beer doesn't disappoint: you can definitely tell a rich raspberry aroma. The smell translates smoothly into the taste as well with a predominant raspberry flavor combined with wheat. Mid to high carbonation which bothered me a little in the mouthfeel department. Overall, this is a pretty solid beer, highly recommended for those looking for a strong fruit taste.",1313799437,0.30000001192092896
5.0,51268,132,John John Hazelnut (Rum Barrel Aged),American Brown Ale,4.0,4.0,4.0,4.0,WCBCFrank,4.0,"I love Hazelnut Brown and I was excited when I purchased this...Off-white head retreats gently to the typical slightly murky brown. The original Hazelnut has a perfect dense and sweet flavor; John John has that mild spice thanks to the barrel treatment. I can imagine other breweries overkilling the spice, but Rogue being Rogue gets right on the money. I agree with other reviewers who describe the initial sip as non-descript, but during the swallow the flavor comes forward with a mixture of toasted malts and light hops. Would I buy it again, I would probably buy the original Hazelnut first, but then reach over and grab one.",1291258135,0.5
4.6,23381,2444,Brahma,American Adjunct Lager,3.5,3.0,1.5,2.0,Dithyramb,1.5,"Nothing to see here, just move along. Sampled while in Chile the last week or so. Went out on a limb for something different, and ended up with Brahma. Much better choices if you happen to actually be in Chile. You have been warned, don't spend any money or time on this drain pour.",1137517579,-0.30000001192092896
5.0,31,22,Blanche De Chambly,Witbier,4.0,3.5,3.5,4.0,buffettfan,3.5,"Poured into my glass, and tons of head formed, thick, white foam. Smelled fruity, like pear Taste was very carbonated, very light, not a strong flavor. Some yeasty bread notes, some fruity pear taste. I liked the finish, smooth, and not very stong. This would be a good beer with some fish, or light chicken, and I bet would go good with a nice, stong maduro cigar!",1214440028,0.0
10.0,62432,16866,3 French Hens,Belgian Strong Dark Ale,3.5,4.5,4.0,4.0,TheFightfan1,4.0,"Poured into a snifter. Kind of a murky ruby color. Thickley tiny bubbled heading that last's the whole way down. Smell is of sugar coated ripenend fruit. A quick flash of alcohol mixed with a subtle dank wood aroma. Taste starts out smooth with a nice ripened fruit taste almost fig like. Heavy,hot warm alcohol comes into play with burnt caramel malt taste. Lingering in the background is a smoke taste along with a soaked wood taste.Which is left on the palate and back of the throat. Mouth is full bodied and some great retention for such a higher ABV. Not bad at all.",1295575929,0.0
11.5,35754,68,Double Dog Double Pale Ale,American Double / Imperial IPA,4.0,4.5,3.5,4.5,tgdigital,4.5,I've had this beer on nitro as well as in bottles and on standard draft. I certainly prefer it on draft. The nitro was a little weird for a beer with this much hop character. This beer is a deep amber with a good amount of hops in the nose. It's got a nice white head that laces nicely around the glass all the way down. Overall this is yet another beer to get yourself into trouble with. Tastes more like a 6% beer or so. Sweet malty finish balanced nicely with the big hop flavor.,1245252024,0.30000001192092896
5.2,8297,35,Samuel Adams White Ale,Witbier,3.0,3.5,3.0,3.5,mjw06,3.5,"not much volume to the color of this brew. its a slightly cloudy piss color with a hint of orange, but just a hint. it has a very small white head that dissipates quickly and leaves no lacing. wheaty smell with orange citrus and coriander. not much spice to it, or rather complexity in the smell of spice. a wheaty, hoppy, presence thats typical of the style. but not much complexity after that. it has a citrus underbody that leaves an aftertaste i could do without. i like the body, but unfortunately i must say the carbonation is a little offensive. a drinkable brew, however when it comes to the low-cost widely available beers of this style, ill take a blue moon over this everyday. i was fairly disappointed.",1234842684,-0.20000000298023224
5.8,226,73,Great Lakes Edmund Fitzgerald Porter,American Porter,4.0,4.0,4.5,4.0,pigc,4.0,"A - Pours a dark black with two finger head. Nice lacing. S - Chocolate, cocoa, coffee, sweet molasses. T - Starts out with smooth cocoa and bitter milk chocolate. Nice hop finish. M - Light to medium. O - Such an easy drinking, wonderfully complex porter. Great example of the style. A real treat.",1320978092,0.6000000238418579
6.7,42533,140,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,American IPA,4.0,3.0,3.5,4.0,kawilliams81,3.5,"Served in a pint glass. A- Light copper with 3"" thick off-white head with large bubbles and lots of lacing that remains on the glass. S- Pale malts and pine. T- Light caramel malts, astringent pine bitterness. M- Light body, fairly smooth. Bitter astringency leaves dry bitter aftertaste in your mouth. O- Nothing special. Not sure how old this is, so the hops may be faded a little.",1319243600,-0.10000000149011612
6.0,1173,132,Santa's Private Reserve Ale,American Amber / Red Ale,4.5,4.5,4.5,4.0,MattyG85,4.5,Poured from 650 ml bottle into a Sam Adams perfect pint glass. Appearance: Pours a brownish ruby red with some orange and lots of rising bubbles. Big five finger off white head with good retention and lots of sticky lacing around the glass. Smell: Bready and moderately sweet caramel and toffee malts are the primary aroma. Also a fairly strong aroma of pine resin and earthy noble hops along with a light hint of cinnamon like spice. Kind of smells like a Christmas tree. Quite appropriate. Taste: Sweet bready caramel and toffee malts up front. Following is a fairly strong taste of spicy pine resin and noble hops. Also some light hints of nuts and cinnamon. Bold flavor in both the malts and hops and very well balanced. Pretty tasty. Mouthfeel: Medium bodied with a moderate level of carbonation. Creamy and smooth. Finishes a little bit dry. Overall: A very solid red ale. Bold flavor and well balanced.,1323845130,0.4000000059604645
10.5,14732,22,Edition 2004,Belgian Strong Pale Ale,4.0,4.5,5.0,5.0,CortexBomb,4.5,"Pours out nice dark blonde, head is perfectly white, and starts out thick but quickly settles down to a thin covering. Smell is sweet and spicy, with fruit tones like many of Unibroue's offerings but I was getting a tad of pear as well. Appealing, and I was eager to take a sip. An incredibly complex brew for flavour: the softly sweet spice (sort of menthey...minty...unorthodox) starts it off, while a mild hop bitter caresses the back of the tongue. A more full spice hits the top of the mouth next, vaguely peppery, yet softer than that while the fruits from the aroma, delicate and tropical arrive on the scene. An alcohol aspect creeps in along the way as well, but it feels subdued, present, but not overwhelming. The finish is another strong, peppery / spicy tinge, with a sweetness from the fruits left on the tip of the tongue to remember it by. Remarkable. Mouthfeel is full, likely due to the alcohol content. This isn't motor oil, but it coats and greatly lends to the experience while the drinkability is impossible to critique, a 10% beer that drinks like water if you're not careful. Unibroue continues to floor me with their high quality belgian offerings.",1095204025,0.5
4.8,9791,396,AleSmith Nautical Nut Brown Ale,English Brown Ale,4.0,4.0,4.5,4.5,largadeer,4.0,"Sampled on tap at the Stone Bistro, and later at Alesmith. Appearance: Dark chestnut, slightly translucent with an off-white head that didn't last long. Smell: Very malty; caramel and dark fruit, slightly roasty. Taste and mouthfeel: Mild sweetness, nutty and roasty, a bit earthy. Full-flavored but fairly light-bodied. Drinkability: This is extremely sessionable stuff; it's full-flavored but light on the alcohol, and not so one-dimensional that it would get boring very quickly.",1184014983,0.10000000149011612
7.5,46363,17981,Jai Alai IPA,American IPA,4.0,4.5,4.5,4.0,EkimGram,4.0,"Appearance: 12oz bottle poured into Sam Adams ""Perfect Pint"". Colour is a light tannish-brown. 2-finger head, slight visible carbonation. Smell: Sweet, spicy, hoppy. Nicely balanced aromas, actually a little soothing. Taste: Rather bitter upfront with some wheaty notes. Hoppy and a little boozy, just a hint of spice. A little citrusy, mostly grapefruit. Mouthfeel: Light-medium bodied, moderately carbonated. A little bit of a sticky finish. Drinkability: This brew is definitely a hop bomb, but a tame one at that. Flavours and aromas are very nicely balanced.",1302227771,0.0
6.0,225,73,Great Lakes Burning River Pale Ale,American Pale Ale (APA),3.5,3.5,4.0,4.0,Tyrawlings,4.0,12 oz. Bottle poured into a pint glass. A: Clean copper in color with soft orange hues. Dense off white head pours two fingers thick with decent retention. Nice sticky lacing clings to the glass. S: Citrus juice. Floral. Pine sap. Caramel malts. Fresh baked bread. T: Big citrus juice with floral and pine hops giving off a nice bitter bite to the tongue. Soft caramel malts blend well to give perfect balance to the brew. Tastes of fresh baked bread and wet earth are taken over by more bitterness of the hops. M: Refreshing and clean. Moderate carbonation. Slightly dry. D: A real nice Pale Ale that borders on the IPA catagory. Incredible balance and drinkability. Refeshing and clean. Recommended.,1177543874,0.30000001192092896
8.0,3158,610,Hop Rod Rye,Rye Beer,5.0,4.5,4.5,4.0,Tilley4,4.5,"A million thanks to naproxen for this killer brew...what a hookup!! Into the Duvel tulip goes this dark glowing red liquid that forms a 3 finger head that lingers... And lingers.... And lingers... Very pungent aroma of sticky oily hops and that familiar biting rye smell... This just smells delicious... On with it... Man, this is good.... Really good...loads of oily sticky hoppy goodness complements the rye in this beautifully... Scary drinkability with this one as well.. My first Bear Republic brew and its a jim dandy...I'd have to say that this is one of the top 3 IPAs I've ever had...",1211076420,0.4000000059604645
8.5,55342,5318,Mongo,American Double / Imperial IPA,4.0,4.0,3.5,3.0,spicelab,3.5,"Bomber thanks to Beermasons. Opaque dirty apricot with a booming just off-white pillowy head that leaves moderate lace trails and a slightly raised ring. Strong candied citrus aromas of tangerine , apricot, lemon sherbet and pineapple. Moderate caramel and biscuity malts and a touch of cut herbs. Decent orange and mango and pineapple, but the fruity vibrancy is largely tempered by a minty-piney bitterness. Would be a medium-full mouthfeel if not for an unsatisfyingly thin gap on the mid-palate. Moderate lingering bitterness. Does what is says on the packet I guess. Love the nose, but for me the flavour and body don't really do it justice.",1324989166,0.10000000149011612
4.8,13701,1805,Rock Art American Red Ale,American Amber / Red Ale,3.5,4.0,4.5,4.5,dazdave,4.5,Pours a dark copper red with an inch of head. Lots of tiny bubbles rise to the surface. The nose has a definite hop smell more piney than anything else. Dangerously delightful beer. First sips have nutty malty flavors juxtaposed to grapefruity hops right up front. Very well balanced beer. Its a pretty long lasting taste on the tongue finishing with Grapefruit. Its not overbearing grapefruit nor overly sweet. Its pretty clean and I'd say a near perfect mouthfeel. There's a small alcohol bite at the end. This is right up there with the best reds I've ever had.,1208228907,0.4000000059604645
5.0,1703,388,Cantillon Gueuze 100% Lambic,Gueuze,4.0,4.5,4.5,4.0,Ineedabeerhere,4.5,"Split this bottle with my homie Jeff the other night. Didn't realize it was a 2006 (no date on the label) until I popped the cap and started pulling the cork out. The cap was rusty, but the cork came out in one piece although it had some cracks in it. Pours a semi-murky golden-ish amber color, some bubbles struggle to form a really sturdy head, but initial pours succeed more than subsequent glasses. A ring of bubbles lasts. Oh yes, smells awesome. Great, rich funkiness. Gym clothes you left in your friend's locker by mistake. Juicy lemon and sweaty balls. This is great, I need to buy more bottles of this vintage. Really developed and just an extremely intrinsic experience. The taste is just as dirty and tannic as the aroma would have indicated, nice lemony tart bite with some apricot leading to a finish drier than a grandmother's vag. Very complex. The low-medium carbonation increases the mustiness and dirty feeling felt on your tongue through the finish and aftertaste. This is such an enjoyable and satisfying beer to drink, but it's by no means a session beer and a 750mL bottle is ideally split at least 3 ways. I look forward to getting more bottles for my cellar. An excellent concoction.",1266121950,0.10000000149011612
9.5,25283,559,Double Daddy Imperial India Pale Ale,American Double / Imperial IPA,4.0,3.5,4.0,4.0,atsprings,4.0,"Pours a crisp pale orange with a thin frothy head that lasts as a thin layer and leaves spotty lacing. Aroma is slight citrus hops and pale malts. The taste is an odd blend of sweet malts and mildly citrus hops, there is a slight fruit profile is present as well. There is also a decent lingering bitter finish. The beer is on the light side of medium with well hidden alcohol. This is a decent double IPA, but I must admit I was expecting better.",1217810590,0.0
6.0,6322,694,Tröegs Hopback Amber Ale,American Amber / Red Ale,4.0,4.0,4.0,4.0,zimm421,4.5,"Poured from a 12 oz bottle into a pint glass. Appears a dark copper to amber color with a nice thick white head that dissipates slower than average and leaves great lacing down the glass. Smells strongly of hops as well as some malts that give a nice caramel scents. The taste is similar, fronted by the malts, giving a bready and caramel taste, with the hops coming through in the back-end. Finishes with some bitterness. Mouthfeel is very creamy with a medium to heavy body and a below average amount of carbonation. This is very easy to drink, as there is not an overwhelming amount of bitterness and it is not too heavy. Something just randomly picked up while at the store, and I'm definitely happy I did.",1270240494,0.30000001192092896
5.5,72336,816,Hazy Days,Hefeweizen,3.5,3.5,4.0,4.0,liamt07,4.0,"On tap at the brewpub, served in a hefeweizen glass with a lemon around the rim (promptly removed by yours truly and transferred to my water). By the brewpub's advertising, this is brewed with ""wheat, two row and carastan malts, Hallertau hops and a 'true' weiss yeast."" Poured an opaque golden orange, with some light brown colours. Two+ fingers of white head which settles to a moderate layer; little lace. Nose has good amounts of wheat and banana. Taste reflects this easily, with more wheat and malt, less banana notes. Sweeter notes with a flash of alcohol. Some citrus notes and some hints of spice as the flavour disappears. Fairly standard and solid hefeweizen profile. Body is a lighter medium, with medium carbonation. Easy drinkability and a good weissbier that's truly unexpected from this brewpub's British tendencies.",1315073680,0.20000000298023224
10.2,18607,113,Samuel Smith Strong Golden Barley Wine,English Barleywine,4.0,5.0,5.0,4.5,rvdoorn,4.5,"Finally, I managed to get my hands on a bottle of this difficult to find beer again. I don't know why, but the last months it was impossible to find in the Netherlands... Anyhow, to celebrate, I decided to open it. I poured the beer into a sniffer. The beer pours a bright deep copper-amber color with a small white head that disappears fast. Smell: Wow, what a great smell, dried fruits (plum raisin fig), caramel, cookies (yeast) and warming alcohol.One of the best smelling beers I ever had. I could spend the whole evening smelling it.... Taste: very similar to the smell, sweet fruits again (plums, hints of bananas), caramel, warming alcohol (becomes a bit too strong for my taste when the beer warms up too much) and an aftertaste of nice medium-bitter malts. The bitterness and sweetness of this beer are perfectly balanced, impressive. Mouthfeel: The beer is relatively thick, with medium carbonation. Mouthfeel is incredibly smooth. Overall: A great beer. In knew in advance that this is one of the most traditional barley wines out there, and one can taste the long lasting history. Everything is perfectly balanced, probably optimized over time! As mentioned by another reviewer, this is no complicated mud as most other barley wines out there. This one is simple but very good. Without any doubt my favorite barley wine until now. Highly recommendable",1251306163,0.5
7.5,33803,48,Gulden Draak Vintage,Belgian Strong Dark Ale,4.5,4.0,4.0,3.5,Wildman,3.5,"2007 Vintage: This beer poured a clear dark red amber color and formed a huge foamy white head much like a float. It slowly subsided leaving latticed lace. A heavy amount of carbonation is present. An aroma of malt, spices, candy and hint of alcohol. A flavor of malt, cherry, light chocolate and alcohol. Fairly light compared to the regular, with a slightly sweet, yet sour finish.",1195453981,0.0
5.2,60094,132,John John Juniper,Herbed / Spiced Beer,4.0,2.5,2.5,4.0,devilben02,3.5,"I've been known to knock back a few gin drinks in my day, so John John Juniper certainly intrigued me. First, it has a great pale ale appearance, with a golden, yellow-orange color and a thick, foamy head. The aroma is a bit of a let down. I was expecting a strange combination of hops and herbs with all of the aromatic ingredients, but there just was not much there. The aroma was just grainy and a bit musty, with a hint of lemon. The flavor was certainly better, with a solid pale ale base of pine, earth, and lemon. The added botanicals seem to boost the pine characteristics, and the juniper adds a little something extra. Texturally, it is resinous and a bit boozy (from the barrel aging?), but also nicely carbonated and mouth-filling. Overall, it is a decent pale ale with a bit of intrigue, but the gin-barrel aging makes this one seem too boozy to want to go back for more. After all, it is never a good sign when you want to add tonic to your beer.",1281100722,0.0
9.4,34146,1199,Founders Double Trouble,American Double / Imperial IPA,4.0,3.5,3.5,3.0,Amdy,3.5,"Pours out a very hazy orange color, very minimal head.... smells a bit fruity, citrus, copperish. Tastes pretty hoppy, very bitter, lingers in the back of your mouth bitter. A bit sweet, not too carbonated... not too boozy for a Imperial IPA 9.4% Would like to taste one down the line to see what age does to it...",1304881299,-0.20000000298023224
